student_id,term_code,class_level,major,credits_attempted,credits_earned,term_gpa,cumulative_gpa,cumulative_credits,enrollment_status,registration_system
S000001,2023FA,Junior,Physics,18,17,3.36,3.21,88,enrolled,Workday
S000002,2023FA,Sophomore,English,13,13,3.3,3.41,34,enrolled,Workday
S000004,2023FA,Sophomore,Mathematics,12,11,2.65,2.57,34,enrolled,Workday
S000005,2023FA,Sophomore,Economics,14,10,0.12,0.21,38,enrolled,Workday
S000006,2023FA,Junior,Economics,16,15,3.26,3.13,70,enrolled,Workday
S000007,2023FA,Senior,Psychology,4,4,3.85,3.12,122,enrolled,Workday
S000008,2023FA,Freshman,Biochemistry,16,16,3.37,3.31,27,enrolled,Workday
S000009,2023FA,Sophomore,Biochemistry,12,12,3.72,3.64,47,enrolled,Workday
S000011,2023FA,Senior,Philosophy,18,18,3.56,3.47,124,enrolled,Workday
S000012,2023FA,Senior,Politics,3,3,3.54,3.71,104,enrolled,Workday
S000013,2023FA,Senior,International and Global Studies,17,17,3.69,3.38,120,enrolled,Workday
S000014,2023FA,Senior,Chemistry,5,5,4.0,3.92,113,enrolled,Workday
S000015,2023FA,Junior,Economics,18,18,3.9,3.52,71,enrolled,Workday
S000016,2023FA,Senior,Music,15,15,3.48,3.12,117,enrolled,Workday
S000017,2023FA,Sophomore,Neuroscience,5,5,3.8,3.95,47,enrolled,Workday
S000018,2023FA,Freshman,Computer Science,16,14,1.85,2.05,29,enrolled,Workday
S000019,2023FA,Freshman,Applied Mathematics,7,7,3.03,3.11,12,enrolled,Workday
S000020,2023FA,Freshman,Anthropology,13,13,3.74,3.73,16,enrolled,Workday
S000026,2023FA,Senior,Computer Science,12,11,2.19,2.58,96,enrolled,Workday
S000027,2023FA,Sophomore,Applied Mathematics,14,14,4.0,3.78,33,enrolled,Workday
S000028,2023FA,Freshman,Economics,15,13,1.67,1.23,26,enrolled,Workday
S000029,2023FA,Freshman,Biochemistry,17,15,2.45,2.75,29,enrolled,Workday
S000032,2023FA,Senior,International and Global Studies,13,13,3.68,3.62,110,enrolled,Workday
S000033,2023FA,Sophomore,American Studies,18,17,3.2,3.19,31,enrolled,Workday
S000037,2023FA,Junior,Biology,13,12,2.93,3.14,65,enrolled,Workday
S000038,2023FA,Senior,International and Global Studies,14,14,3.43,3.66,133,enrolled,Workday
S000039,2023FA,Sophomore,Neuroscience,14,14,3.49,3.4,57,enrolled,Workday
S000040,2023FA,Sophomore,Music,17,17,3.49,3.21,59,enrolled,Workday
S000041,2023FA,Sophomore,"Health: Science, Society, and Policy",4,3,1.51,1.44,47,enrolled,Workday
S000042,2023FA,Freshman,Psychology,13,13,3.55,3.45,21,enrolled,Workday
S000043,2023FA,Freshman,Neuroscience,4,4,3.91,3.67,15,enrolled,Workday
S000044,2023FA,Freshman,Biochemistry,15,12,1.31,0.91,26,enrolled,Workday
S000045,2023FA,Sophomore,International and Global Studies,8,8,4.0,3.69,46,enrolled,Workday
S000046,2023FA,Freshman,Psychology,16,16,3.47,3.46,21,enrolled,Workday
S000048,2023FA,Senior,Psychology,17,16,3.22,3.1,96,enrolled,Workday
S000049,2023FA,Sophomore,Biology,12,11,3.1,3.23,37,enrolled,Workday
S000050,2023FA,Sophomore,Economics,18,18,3.71,3.89,54,enrolled,Workday
S000051,2023FA,Freshman,American Studies,15,13,2.39,2.66,21,enrolled,Workday
S000052,2023FA,Junior,Studio Art,16,14,2.51,3.19,60,enrolled,Workday
S000053,2023FA,Senior,Economics,13,13,3.36,3.51,109,enrolled,Workday
S000054,2023FA,Sophomore,Biology,16,15,3.07,3.18,33,enrolled,Workday
S000055,2023FA,Senior,Biology,4,4,3.0,3.09,110,enrolled,Workday
S000056,2023FA,Sophomore,Politics,14,14,3.61,3.58,39,enrolled,Workday
S000057,2023FA,Freshman,Computer Science,,,,3.12,12,not_enrolled,Workday
S000058,2023FA,Freshman,Politics,18,18,4.0,3.89,29,enrolled,Workday
S000059,2023FA,Junior,Applied Mathematics,12,12,3.66,3.64,69,enrolled,Workday
S000060,2023FA,Freshman,Mathematics,6,6,3.82,3.83,12,enrolled,Workday
S000061,2023FA,Freshman,Neuroscience,17,17,3.72,3.72,18,enrolled,Workday
S000062,2023FA,Freshman,Computer Science,16,15,3.28,3.19,28,enrolled,Workday
S000064,2023FA,Freshman,Chemistry,13,11,1.95,2.0,17,enrolled,Workday
S000065,2023FA,Senior,Biochemistry,13,13,3.29,3.33,129,enrolled,Workday
S000068,2023FA,Freshman,Philosophy,15,15,3.68,3.68,15,enrolled,Workday
S000070,2023FA,Freshman,Sociology,,,,3.64,7,not_enrolled,Workday
S000072,2023FA,Sophomore,Psychology,14,12,1.83,1.85,44,enrolled,Workday
S000073,2023FA,Sophomore,Biochemistry,,,,1.17,43,not_enrolled,Workday
S000074,2023FA,Freshman,Economics,13,13,3.79,3.78,28,enrolled,Workday
S000075,2023FA,Senior,Business,15,15,3.41,3.45,109,enrolled,Workday
S000076,2023FA,Sophomore,East Asian Studies,12,12,3.82,3.49,57,enrolled,Workday
S000079,2023FA,Junior,American Studies,16,15,3.18,3.24,72,enrolled,Workday
S000080,2023FA,Senior,Politics,16,14,2.06,2.53,133,enrolled,Workday
S000081,2023FA,Freshman,Philosophy,15,14,3.09,3.14,25,enrolled,Workday
S000082,2023FA,Senior,"Health: Science, Society, and Policy",16,13,1.38,1.5,124,enrolled,Workday
S000084,2023FA,Sophomore,Neuroscience,17,15,2.59,2.62,44,enrolled,Workday
S000085,2023FA,Freshman,Economics and Business,12,12,3.64,3.61,18,enrolled,Workday
S000086,2023FA,Senior,Mathematics,7,7,3.26,3.43,100,enrolled,Workday
S000087,2023FA,Sophomore,Anthropology,8,8,4.0,3.58,43,enrolled,Workday
S000089,2023FA,Freshman,International and Global Studies,,,,3.49,27,not_enrolled,Workday
S000090,2023FA,Junior,Biology,,,,1.85,63,not_enrolled,Workday
S000091,2023FA,Freshman,Computer Science,,,,3.28,12,not_enrolled,Workday
S000092,2023FA,Sophomore,English,13,10,1.0,0.63,55,enrolled,Workday
S000095,2023FA,Senior,Sociology,12,12,3.23,3.2,93,enrolled,Workday
S000096,2023FA,Junior,Philosophy,13,9,0.27,0.46,75,enrolled,Workday
S000098,2023FA,Freshman,Biology,12,12,4.0,3.67,27,enrolled,Workday
S000099,2023FA,Freshman,Computer Science,6,5,2.68,2.3,25,enrolled,Workday
S000100,2023FA,Senior,Computer Science,9,9,3.29,3.24,103,enrolled,Workday
S000101,2023FA,Senior,Biochemistry,,,,3.17,113,not_enrolled,Workday
S000102,2023FA,Sophomore,Psychology,3,3,3.43,3.52,57,enrolled,Workday
S000103,2023FA,Junior,Computer Science,18,17,3.17,3.06,61,enrolled,Workday
S000104,2023FA,Junior,Neuroscience,18,17,3.12,3.35,61,enrolled,Workday
S000105,2023FA,Junior,Economics,13,13,3.66,3.59,69,enrolled,Workday
S000106,2023FA,Senior,Politics,14,14,3.39,3.08,122,enrolled,Workday
S000107,2023FA,Senior,Biology,9,9,3.25,3.42,99,enrolled,Workday
S000108,2023FA,Freshman,Politics,17,13,0.86,0.86,14,enrolled,Workday
S000109,2023FA,Senior,Computer Science,16,16,3.58,3.49,131,enrolled,Workday
S000110,2023FA,Sophomore,Environmental Studies,10,10,3.57,3.5,50,enrolled,Workday
S000114,2023FA,Senior,Biology,6,6,3.78,3.42,108,enrolled,Workday
S000115,2023FA,Senior,Biology,17,16,3.28,3.02,110,enrolled,Workday
S000116,2023FA,Freshman,Anthropology,14,11,1.29,1.43,16,enrolled,Workday
S000117,2023FA,Freshman,Neuroscience,15,12,1.45,1.4,16,enrolled,Workday
S000119,2023FA,Sophomore,Computer Science,18,17,3.0,3.01,30,enrolled,Workday
S000120,2023FA,Sophomore,American Studies,16,16,3.92,3.94,40,enrolled,Workday
S000121,2023FA,Sophomore,Anthropology,14,13,3.12,3.11,42,enrolled,Workday
S000124,2023FA,Senior,Economics,15,13,1.73,1.93,95,enrolled,Workday
S000125,2023FA,Sophomore,Sociology,17,16,3.0,2.8,49,enrolled,Workday
S000126,2023FA,Sophomore,Politics,11,9,1.81,1.83,33,enrolled,Workday
