workday_person_id,term_code,fafsa_received,pell_amount,institutional_grant,loans,balance_due
WD82117865,2023FA,true,0,5290,2131,5652
WD18983962,2023FA,true,0,4386,4159,1013
WD81229989,2023FA,true,490,6314,0,8843
WD26521485,2023FA,true,0,1526,6736,4066
WD21455120,2023FA,true,2875,1102,2182,8688
WD56187304,2023FA,true,0,3910,0,8378
WD82749406,2023FA,true,0,6251,926,6163
WD04536524,2023FA,false,0,1147,0,1346
WD55714946,2023FA,true,0,4406,0,-1383
WD89085663,2023FA,false,0,1883,0,8311
WD64589102,2023FA,true,0,3915,0,6794
WD07385722,2023FA,false,0,2363,0,-12
WD11612189,2023FA,true,0,6653,783,1616
WD69205736,2023FA,false,0,488,0,1061
WD84804298,2023FA,false,0,1347,0,684
WD74891935,2023FA,true,3112,1320,8135,8609
WD73807848,2023FA,true,0,6894,3071,7884
WD58456803,2023FA,true,0,1991,0,3933
WD94402674,2023FA,true,0,5869,2054,3811
WD09148706,2023FA,true,0,5421,7556,4766
WD59854836,2023FA,true,0,5474,0,1202
WD14669317,2023FA,true,81,6978,0,4381
WD92293433,2023FA,true,0,1145,8236,1523
WD60315081,2023FA,true,0,2519,673,2716
WD38610489,2023FA,true,0,5635,2498,2134
WD51972604,2023FA,true,0,2811,6069,7528
WD00696025,2023FA,false,0,847,0,2863
WD31521015,2023FA,false,0,1576,0,3918
WD04578932,2023FA,true,0,6637,4367,5674
WD80334007,2023FA,true,0,5302,4162,130
WD05129494,2023FA,false,0,2381,0,19
WD70795380,2023FA,false,0,1295,0,-1006
WD37343286,2023FA,true,0,3717,4940,6055
WD50854752,2023FA,true,0,2521,0,-506
WD01243688,2023FA,true,1575,4628,8077,2031
WD12520005,2023FA,true,0,1675,0,4131
WD94391890,2023FA,false,0,167,0,2134
WD11750602,2023FA,true,0,2325,0,5573
WD51858431,2023FA,true,1539,1195,0,930
WD07139880,2023FA,true,2393,1286,5251,8075
WD46389505,2023FA,true,893,2841,0,8641
WD28929174,2023FA,true,0,5599,0,-1204
WD59557464,2023FA,false,0,821,0,8120
WD30638658,2023FA,false,0,55,0,8236
WD53346744,2023FA,false,0,582,0,1063
WD73623725,2023FA,true,0,207,7607,27
WD17255076,2023FA,true,598,1766,1053,6494
WD10611405,2023FA,false,0,1989,0,8401
WD59479444,2023FA,false,0,147,0,-2077
WD54633258,2023FA,true,0,4157,6397,7918
WD11970054,2023FA,false,0,2301,0,8667
WD70306746,2023FA,true,0,4824,3752,-167
WD94290766,2023FA,false,0,1919,0,1317
WD17624337,2023FA,true,0,5966,984,278
WD27158991,2023FA,true,2487,2662,7090,2206
WD38829230,2023FA,true,0,5841,0,873
WD01162996,2023FA,true,0,3082,55,1470
WD34934756,2023FA,true,2236,3479,0,8392
WD21977336,2023FA,true,123,1960,4822,2739
WD06733611,2023FA,false,0,1042,0,-700
WD60853396,2023FA,true,0,1247,0,5745
WD71931233,2023FA,false,0,1044,0,739
WD46171172,2023FA,true,0,1384,4602,4641
WD64591076,2023FA,false,0,668,0,2358
WD57344834,2023FA,false,0,225,0,4142
WD02876545,2023FA,true,0,5560,0,3959
WD21494819,2023FA,true,1737,4075,0,1642
WD73451830,2023FA,false,0,2385,0,5246
WD19802073,2023FA,true,0,4545,2108,4631
WD31598536,2023FA,false,0,1539,0,8522
WD09598918,2023FA,true,0,2259,0,7955
WD11807458,2023FA,true,0,2615,4875,1290
WD88445527,2023FA,true,0,442,0,-1447
WD48663308,2023FA,false,0,2309,0,2952
