moodle_user_key,term_code,course_shells,login_count,page_views,assignments_submitted,forum_posts,quiz_attempts,last_activity_date,lms_platform
mdl_s000002,2023FA,5,97,806,53,10,12,2023-11-11,Moodle
mdl_s000004,2023FA,3,58,3489,28,33,4,2023-11-10,Moodle
mdl_s000005,2023FA,6,10,1629,13,1,24,2023-11-15,Moodle
mdl_s000479,2023FA,6,8,2512,51,16,0,2023-11-04,Moodle
mdl_s000007,2023FA,4,121,2574,3,12,16,2023-11-20,Moodle
mdl_s000008,2023FA,4,44,1026,15,33,18,2023-11-12,Moodle
mdl_s000009,2023FA,4,83,399,35,13,15,2023-11-03,Moodle
mdl_s000011,2023FA,3,63,1833,9,28,9,2023-11-22,Moodle
mdl_s000012,2023FA,4,132,4200,43,20,23,2023-11-04,Moodle
mdl_s000013,2023FA,5,55,2758,38,11,1,2023-11-25,Moodle
mdl_s000014,2023FA,6,48,173,7,16,15,2023-11-24,Moodle
mdl_s000015,2023FA,6,116,298,38,27,1,2023-11-24,Moodle
mdl_s000016,2023FA,5,76,2556,13,33,6,2023-11-21,Moodle
mdl_s000017,2023FA,6,83,1525,57,23,7,2023-11-15,Moodle
mdl_s000019,2023FA,3,67,2191,3,34,4,2023-11-03,Moodle
mdl_s000020,2023FA,4,23,2206,24,21,16,2023-11-19,Moodle
mdl_s000026,2023FA,4,78,111,18,3,9,2023-11-03,Moodle
mdl_s000027,2023FA,6,54,2269,17,14,9,2023-11-25,Moodle
mdl_s000028,2023FA,3,20,2614,2,25,4,2023-11-04,Moodle
mdl_s000029,2023FA,6,106,1315,41,33,17,2023-11-02,Moodle
mdl_s000032,2023FA,4,36,1995,55,23,7,2023-11-12,Moodle
mdl_s000033,2023FA,4,10,1873,20,2,11,2023-11-27,Moodle
mdl_s000037,2023FA,3,128,2551,49,27,14,2023-11-06,Moodle
mdl_s000038,2023FA,4,18,1927,36,9,6,2023-11-20,Moodle
mdl_s000039,2023FA,6,9,2745,40,33,2,2023-11-20,Moodle
mdl_s000040,2023FA,6,66,2863,65,15,10,2023-11-23,Moodle
mdl_s000041,2023FA,4,98,3617,10,28,20,2023-11-10,Moodle
mdl_s000042,2023FA,4,14,1973,24,4,0,2023-11-05,Moodle
mdl_s000044,2023FA,3,55,1848,62,5,1,2023-11-03,Moodle
mdl_s000045,2023FA,5,118,210,39,5,14,2023-11-14,Moodle
mdl_s000046,2023FA,5,75,3724,3,17,22,2023-11-11,Moodle
mdl_s000048,2023FA,4,135,3554,6,25,24,2023-11-10,Moodle
mdl_s000049,2023FA,4,98,4053,26,7,23,2023-11-15,Moodle
mdl_s000050,2023FA,5,128,1576,26,17,7,2023-11-09,Moodle
mdl_s000051,2023FA,5,70,506,38,27,4,2023-11-27,Moodle
mdl_s000052,2023FA,4,59,789,21,33,11,2023-11-02,Moodle
mdl_s000053,2023FA,3,56,3098,47,3,19,2023-11-14,Moodle
mdl_s000054,2023FA,6,127,861,36,14,7,2023-11-27,Moodle
mdl_s000055,2023FA,4,16,2164,12,22,23,2023-11-11,Moodle
mdl_s000056,2023FA,3,38,2652,10,14,3,2023-11-21,Moodle
mdl_s000058,2023FA,6,102,2187,19,12,22,2023-11-03,Moodle
mdl_s000059,2023FA,6,104,1609,28,4,20,2023-11-04,Moodle
mdl_s000060,2023FA,5,118,3490,18,1,14,2023-11-02,Moodle
mdl_s000061,2023FA,5,11,3618,51,7,23,2023-11-20,Moodle
mdl_s000062,2023FA,6,106,1035,59,31,1,2023-11-22,Moodle
mdl_s000064,2023FA,4,28,1397,5,7,3,2023-11-15,Moodle
mdl_s000065,2023FA,4,93,2433,21,8,14,2023-11-16,Moodle
mdl_s000068,2023FA,4,13,3030,64,15,6,2023-11-05,Moodle
mdl_s000072,2023FA,4,89,2259,61,28,20,2023-11-11,Moodle
mdl_s000074,2023FA,5,84,650,45,8,22,2023-11-03,Moodle
mdl_s000075,2023FA,4,12,1472,12,5,3,2023-11-11,Moodle
mdl_s000076,2023FA,4,134,105,43,2,20,2023-11-28,Moodle
mdl_s000079,2023FA,6,105,2403,65,13,16,2023-11-10,Moodle
mdl_s000080,2023FA,4,92,265,27,17,18,2023-11-07,Moodle
mdl_s000081,2023FA,5,110,2309,61,13,20,2023-11-18,Moodle
mdl_s000082,2023FA,4,26,2729,51,35,17,2023-11-17,Moodle
mdl_s000084,2023FA,5,99,2945,62,15,10,2023-11-19,Moodle
mdl_s000086,2023FA,4,29,2567,37,30,15,2023-11-27,Moodle
mdl_s000087,2023FA,6,62,3185,24,15,18,2023-11-06,Moodle
mdl_s000092,2023FA,3,127,3508,64,11,9,2023-11-07,Moodle
mdl_s000095,2023FA,6,108,1404,24,33,21,2023-11-16,Moodle
mdl_s000096,2023FA,6,14,2362,7,16,6,2023-11-12,Moodle
mdl_s000098,2023FA,5,87,3141,41,17,3,2023-11-12,Moodle
mdl_s000099,2023FA,5,25,2551,21,27,9,2023-11-07,Moodle
mdl_s000100,2023FA,6,35,1255,5,6,20,2023-11-03,Moodle
mdl_s000103,2023FA,5,117,287,5,26,8,2023-11-05,Moodle
mdl_s000104,2023FA,6,19,139,46,18,14,2023-11-17,Moodle
mdl_s000105,2023FA,3,24,4136,44,4,5,2023-11-01,Moodle
mdl_s000107,2023FA,6,15,787,33,0,19,2023-11-23,Moodle
mdl_s000108,2023FA,4,112,217,2,18,9,2023-11-25,Moodle
mdl_s000109,2023FA,3,48,3231,55,17,6,2023-11-28,Moodle
mdl_s000110,2023FA,4,119,3665,11,9,20,2023-11-14,Moodle
mdl_s000114,2023FA,3,72,1098,28,21,5,2023-11-06,Moodle
mdl_s000115,2023FA,6,43,3774,37,24,8,2023-11-18,Moodle
mdl_s000116,2023FA,4,131,384,37,11,7,2023-11-19,Moodle
mdl_s000117,2023FA,4,91,3649,0,25,7,2023-11-24,Moodle
mdl_s000119,2023FA,6,32,1569,45,18,19,2023-11-25,Moodle
mdl_s000120,2023FA,6,29,1506,17,13,21,2023-11-02,Moodle
mdl_s000121,2023FA,5,10,1365,52,1,14,2023-11-22,Moodle
mdl_s000124,2023FA,6,140,776,48,13,6,2023-11-11,Moodle
mdl_s000125,2023FA,6,119,1624,12,27,13,2023-11-25,Moodle
mdl_s000126,2023FA,4,95,3000,43,26,20,2023-11-17,Moodle
mdl_s000129,2023FA,6,46,2301,56,28,16,2023-11-28,Moodle
mdl_s000130,2023FA,4,22,3672,50,23,22,2023-11-25,Moodle
mdl_s000131,2023FA,4,130,2182,14,17,13,2023-11-18,Moodle
mdl_s000132,2023FA,4,58,1018,31,6,17,2023-11-04,Moodle
mdl_s000133,2023FA,6,12,3960,51,3,13,2023-11-03,Moodle
mdl_s000135,2023FA,4,12,3157,1,15,5,2023-11-26,Moodle
mdl_s000136,2023FA,6,77,3300,34,9,13,2023-11-26,Moodle
mdl_s000137,2023FA,6,38,3726,1,1,17,2023-11-19,Moodle
mdl_s000138,2023FA,4,120,936,30,8,1,2023-11-09,Moodle
mdl_s000140,2023FA,4,140,841,23,3,2,2023-11-11,Moodle
mdl_s000141,2023FA,3,50,2050,62,31,16,2023-11-28,Moodle
mdl_s000143,2023FA,6,137,2023,2,18,3,2023-11-01,Moodle
mdl_s000144,2023FA,6,52,316,38,11,17,2023-11-13,Moodle
mdl_s000148,2023FA,5,55,1557,47,31,20,2023-11-02,Moodle
mdl_s000150,2023FA,5,41,3821,38,22,2,2023-11-25,Moodle
mdl_s000151,2023FA,6,102,879,5,16,3,2023-11-14,Moodle
mdl_s000153,2023FA,6,136,4197,36,33,2,2023-11-09,Moodle
mdl_s000154,2023FA,6,93,2582,6,1,15,2023-11-05,Moodle
mdl_s000156,2023FA,5,103,1937,7,0,6,2023-11-15,Moodle
mdl_s000159,2023FA,6,72,3533,7,7,7,2023-11-21,Moodle
mdl_s000160,2023FA,5,54,4140,17,33,21,2023-11-24,Moodle
mdl_s000162,2023FA,5,85,2704,4,25,15,2023-11-07,Moodle
mdl_s000165,2023FA,5,44,341,12,31,9,2023-11-16,Moodle
mdl_s000166,2023FA,5,140,1551,56,30,0,2023-11-04,Moodle
