student_id,term_code,class_level,major,credits_attempted,credits_earned,term_gpa,cumulative_gpa,cumulative_credits,enrollment_status,registration_system
S000001,2024SP,Senior,Physics,5,5,2.53,3.17,93,enrolled,Workday
S000002,2024SP,Sophomore,English,10,10,3.72,3.48,44,enrolled,Workday
S000004,2024SP,Sophomore,Mathematics,13,12,2.45,2.54,46,enrolled,Workday
S000005,2024SP,Sophomore,Economics,5,4,0.0,0.19,42,enrolled,Workday
S000006,2024SP,Junior,Economics,17,16,3.02,3.11,86,enrolled,Workday
S000007,2024SP,Senior,Psychology,11,10,2.78,3.1,132,enrolled,Workday
S000008,2024SP,Sophomore,Computer Science,14,14,3.41,3.34,41,enrolled,Workday
S000009,2024SP,Sophomore,Biochemistry,,,,3.64,47,not_enrolled,Workday
S000011,2024SP,Senior,Neuroscience,12,12,3.71,3.49,136,enrolled,Workday
S000012,2024SP,Senior,Politics,6,6,4.0,3.72,110,enrolled,Workday
S000013,2024SP,Senior,International and Global Studies,16,15,3.18,3.36,135,enrolled,Workday
S000015,2024SP,Junior,Economics,12,12,3.48,3.51,83,enrolled,Workday
S000016,2024SP,Senior,Music,15,14,3.11,3.12,131,enrolled,Workday
S000017,2024SP,Sophomore,Neuroscience,6,6,4.0,3.96,53,enrolled,Workday
S000018,2024SP,Sophomore,Computer Science,13,11,1.96,2.03,40,enrolled,Workday
S000019,2024SP,Freshman,Applied Mathematics,13,13,3.45,3.29,25,enrolled,Workday
S000020,2024SP,Freshman,Anthropology,6,6,3.46,3.66,22,enrolled,Workday
S000022,2024SP,Freshman,Economics,17,17,3.48,3.39,28,enrolled,Workday
S000026,2024SP,Senior,Computer Science,10,10,3.41,2.66,106,enrolled,Workday
S000027,2024SP,Sophomore,Applied Mathematics,13,13,3.72,3.76,46,enrolled,Workday
S000028,2024SP,Freshman,Economics,4,3,0.68,1.18,29,enrolled,Workday
S000029,2024SP,Sophomore,Biochemistry,18,16,2.64,2.71,45,enrolled,Workday
S000032,2024SP,Senior,International and Global Studies,18,18,3.67,3.63,128,enrolled,Workday
S000033,2024SP,Sophomore,American Studies,18,17,3.09,3.15,48,enrolled,Workday
S000037,2024SP,Junior,Biology,16,15,3.12,3.14,80,enrolled,Workday
S000038,2024SP,Senior,International and Global Studies,18,18,3.61,3.66,151,enrolled,Workday
S000039,2024SP,Junior,Neuroscience,15,15,3.61,3.44,72,enrolled,Workday
S000040,2024SP,Junior,Music,14,14,3.65,3.29,73,enrolled,Workday
S000041,2024SP,Junior,"Health: Science, Society, and Policy",18,15,1.51,1.46,62,enrolled,Workday
S000042,2024SP,Freshman,Psychology,3,3,3.25,3.42,24,enrolled,Workday
S000043,2024SP,Sophomore,Neuroscience,16,15,3.34,3.5,30,enrolled,Workday
S000044,2024SP,Freshman,Biochemistry,4,3,0.99,0.92,29,enrolled,Workday
S000045,2024SP,Sophomore,International and Global Studies,,,,3.69,46,not_enrolled,Workday
S000046,2024SP,Freshman,Psychology,8,8,3.41,3.45,29,enrolled,Workday
S000048,2024SP,Senior,Neuroscience,8,8,2.97,3.09,104,enrolled,Workday
S000049,2024SP,Sophomore,Biology,15,14,2.66,3.07,51,enrolled,Workday
S000050,2024SP,Junior,Economics,16,16,4.0,3.92,70,enrolled,Workday
S000051,2024SP,Sophomore,American Studies,14,14,3.35,2.93,35,enrolled,Workday
S000052,2024SP,Junior,Studio Art,13,13,3.33,3.22,73,enrolled,Workday
S000053,2024SP,Senior,Economics,12,11,3.21,3.48,120,enrolled,Workday
S000054,2024SP,Sophomore,Biology,10,10,3.48,3.25,43,enrolled,Workday
S000055,2024SP,Senior,Biology,15,15,3.45,3.13,125,enrolled,Workday
S000056,2024SP,Sophomore,Politics,13,13,3.3,3.51,52,enrolled,Workday
S000057,2024SP,Freshman,Computer Science,18,17,3.05,3.08,29,enrolled,Workday
S000058,2024SP,Sophomore,Politics,15,15,3.86,3.88,44,enrolled,Workday
S000059,2024SP,Junior,Applied Mathematics,15,15,3.74,3.65,84,enrolled,Workday
S000060,2024SP,Freshman,Mathematics,12,12,3.48,3.66,24,enrolled,Workday
S000061,2024SP,Sophomore,Neuroscience,15,15,3.78,3.75,33,enrolled,Workday
S000062,2024SP,Sophomore,Computer Science,14,13,3.1,3.16,41,enrolled,Workday
S000064,2024SP,Freshman,Chemistry,13,11,1.78,1.91,28,enrolled,Workday
S000065,2024SP,Senior,Biochemistry,12,12,3.28,3.33,141,enrolled,Workday
S000066,2024SP,Freshman,"Health: Science, Society, and Policy",17,17,3.66,3.65,19,enrolled,Workday
S000068,2024SP,Freshman,Philosophy,8,8,4.0,3.79,23,enrolled,Workday
S000070,2024SP,Freshman,Sociology,,,,3.64,7,not_enrolled,Workday
S000072,2024SP,Sophomore,Psychology,12,11,2.26,1.93,55,enrolled,Workday
S000073,2024SP,Sophomore,Biochemistry,17,14,1.77,1.32,57,enrolled,Workday
S000074,2024SP,Sophomore,Economics,14,14,3.55,3.7,42,enrolled,Workday
S000075,2024SP,Senior,Business,12,12,4.0,3.51,121,enrolled,Workday
S000076,2024SP,Junior,East Asian Studies,7,7,3.24,3.46,64,enrolled,Workday
S000079,2024SP,Junior,American Studies,,,,3.24,72,not_enrolled,Workday
S000080,2024SP,Senior,Economics,6,6,2.76,2.54,139,enrolled,Workday
S000081,2024SP,Sophomore,Philosophy,12,12,3.35,3.21,37,enrolled,Workday
S000082,2024SP,Senior,"Health: Science, Society, and Policy",4,3,1.22,1.49,127,enrolled,Workday
S000084,2024SP,Sophomore,Neuroscience,,,,2.62,44,not_enrolled,Workday
S000085,2024SP,Sophomore,Economics and Business,15,14,2.67,3.2,32,enrolled,Workday
S000086,2024SP,Senior,Mathematics,18,17,3.14,3.39,117,enrolled,Workday
S000087,2024SP,Sophomore,Anthropology,15,14,2.87,3.41,57,enrolled,Workday
S000089,2024SP,Sophomore,International and Global Studies,16,16,3.68,3.56,43,enrolled,Workday
S000090,2024SP,Junior,Biology,18,15,1.68,1.82,78,enrolled,Workday
