workday_person_id,term_code,fafsa_received,pell_amount,institutional_grant,loans,balance_due
WD82117865,2024SP,true,0,3043,1067,322
WD18983962,2024SP,true,0,4859,5624,3264
WD26521485,2024SP,true,2395,3422,0,1027
WD21455120,2024SP,true,213,5985,0,1892
WD82749406,2024SP,true,0,1481,3162,2848
WD22044066,2024SP,true,0,2299,7004,6895
WD04536524,2024SP,true,938,1236,0,8214
WD18483490,2024SP,true,0,2848,747,-239
WD34871288,2024SP,false,0,1540,0,2802
WD80636911,2024SP,false,0,397,0,8221
WD30154380,2024SP,true,2626,4332,0,5174
WD36666803,2024SP,true,0,5245,0,2925
WD22990120,2024SP,true,0,4556,5776,4035
WD64589102,2024SP,false,0,531,0,6922
WD06529944,2024SP,true,0,3241,0,1570
WD07385722,2024SP,true,0,2496,0,5693
WD37073155,2024SP,true,3482,6814,8285,4290
WD11612189,2024SP,true,0,3055,0,7985
WD67128571,2024SP,false,0,864,0,6735
WD25667078,2024SP,false,0,1298,0,1733
WD74891935,2024SP,false,0,1554,0,1479
WD73807848,2024SP,true,3178,2641,0,4867
WD16415427,2024SP,true,0,1905,887,-766
WD59854836,2024SP,true,1084,495,0,2619
WD31949692,2024SP,false,0,461,0,8292
WD14669317,2024SP,true,2444,1381,3629,-1713
WD60315081,2024SP,false,0,201,0,3254
WD94565013,2024SP,false,0,1798,0,148
WD38610489,2024SP,true,0,617,0,-2365
WD51972604,2024SP,true,0,2003,0,6118
WD77677471,2024SP,true,0,1986,0,8508
WD98526908,2024SP,false,0,25,0,7616
WD31521015,2024SP,true,0,2089,4253,-1768
WD56841840,2024SP,true,0,1667,2856,-925
WD72781579,2024SP,false,0,1406,0,2934
WD22487957,2024SP,true,0,5080,2503,-152
WD75597982,2024SP,true,0,2142,2401,-166
WD27161284,2024SP,true,0,3610,6956,3170
WD34164891,2024SP,false,0,1562,0,4191
WD05129494,2024SP,true,0,4591,1043,-289
WD70795380,2024SP,false,0,2116,0,3140
WD37343286,2024SP,false,0,1070,0,3073
WD50854752,2024SP,false,0,2438,0,5763
WD74434483,2024SP,true,0,3181,0,-1181
WD38530618,2024SP,true,0,4027,0,1691
WD50999572,2024SP,false,0,85,0,-1763
WD06828720,2024SP,false,0,1962,0,3721
WD12520005,2024SP,false,0,1843,0,-1192
WD87061264,2024SP,true,0,1629,0,-461
WD94391890,2024SP,true,0,2166,0,344
WD30691410,2024SP,true,0,3990,0,-895
WD09851395,2024SP,false,0,973,0,1708
WD51858431,2024SP,true,237,1231,5431,3274
WD07139880,2024SP,false,0,889,0,6660
WD20823654,2024SP,false,0,815,0,7704
WD59557464,2024SP,false,0,1202,0,5846
WD16416232,2024SP,true,1058,1266,0,4353
WD26144187,2024SP,false,0,1382,0,5160
WD30638658,2024SP,true,0,2546,6062,-1134
WD98412686,2024SP,true,0,4217,0,8340
WD83392163,2024SP,false,0,2217,0,-425
WD91615506,2024SP,false,0,1239,0,3696
WD53346744,2024SP,true,3182,1850,2571,2883
WD73623725,2024SP,true,0,672,4002,6388
WD06676742,2024SP,true,3074,3365,6990,479
WD85829726,2024SP,false,0,1279,0,5
WD17255076,2024SP,false,0,1625,0,6714
WD46117867,2024SP,false,0,1227,0,4968
WD54633258,2024SP,false,0,618,0,2566
WD11970054,2024SP,true,1664,4368,6944,-590
WD80852668,2024SP,true,0,1712,0,3862
WD23721114,2024SP,true,0,6005,0,3679
WD70306746,2024SP,true,1465,1018,0,808
WD99572182,2024SP,true,0,4597,5287,1606
WD94290766,2024SP,false,0,210,0,2642
WD17624337,2024SP,true,3112,6917,292,4076
WD38829230,2024SP,true,0,1436,0,2132
WD01162996,2024SP,true,315,2372,0,8805
WD34934756,2024SP,true,3391,3463,6725,1468
WD21977336,2024SP,false,0,1814,0,1504
WD99778735,2024SP,false,0,1194,0,2965
WD62629839,2024SP,true,1609,1006,0,-1265
WD47488826,2024SP,true,0,2733,2534,6004
WD85473642,2024SP,true,2532,4572,6713,-2306
WD02876545,2024SP,true,0,3703,0,7385
WD73451830,2024SP,true,0,6871,0,4265
WD63057590,2024SP,true,918,3398,8011,6662
WD19802073,2024SP,false,0,530,0,320
WD74618928,2024SP,true,2149,5771,836,7679
WD41033951,2024SP,true,0,2473,5916,6825
WD09598918,2024SP,true,0,3026,4766,586
WD11807458,2024SP,false,0,70,0,8785
WD63004317,2024SP,true,0,6329,0,1304
WD76642626,2024SP,true,0,6603,3689,1734
WD68784464,2024SP,true,0,4111,0,1348
WD42272639,2024SP,true,0,5625,8493,7558
WD66094939,2024SP,true,0,5446,8216,2867
WD33397343,2024SP,true,0,4737,7365,1380
WD83239325,2024SP,true,1962,6431,873,5117
WD03919872,2024SP,true,0,5336,0,1
WD11531090,2024SP,true,0,5820,6964,3010
WD10549931,2024SP,true,0,2578,7890,-451
WD01125832,2024SP,true,2441,5215,4853,8909
WD43018492,2024SP,true,1384,1907,0,8207
WD62472363,2024SP,true,0,2799,3092,-1039
WD98000218,2024SP,false,0,2446,0,-938
WD80333898,2024SP,true,0,5773,4167,8676
WD93011812,2024SP,false,0,1971,0,7631
WD29493813,2024SP,true,0,202,2575,6765
WD10146290,2024SP,true,0,1385,0,1159
WD78596228,2024SP,false,0,1444,0,7166
WD91527160,2024SP,true,0,3652,0,7780
WD37855032,2024SP,true,0,4726,2689,2486
WD58343246,2024SP,true,0,1278,6768,1601
WD85806274,2024SP,true,2885,6292,1527,-1088
WD01073842,2024SP,true,1030,2022,0,7292
WD73284721,2024SP,true,0,3963,1909,2480
WD05646627,2024SP,false,0,892,0,5764
WD40452091,2024SP,true,0,2753,3132,1770
WD29116599,2024SP,true,0,4534,0,3839
WD58904365,2024SP,true,0,6584,0,3889
WD68684775,2024SP,true,2024,674,4010,426
WD91821055,2024SP,true,1741,3195,2648,4477
WD98946361,2024SP,false,0,2290,0,4068
WD75713384,2024SP,true,0,2116,7983,5704
WD99062006,2024SP,true,2396,6305,255,6420
WD49344464,2024SP,false,0,742,0,8222
WD85991153,2024SP,true,0,285,0,3262
WD62328640,2024SP,false,0,1982,0,8259
WD65005767,2024SP,true,428,6520,2463,6734
WD71376900,2024SP,true,1136,1790,254,5556
WD59460996,2024SP,true,9,6801,6070,-2496
WD12728394,2024SP,false,0,1705,0,4088
WD29147766,2024SP,false,0,712,0,-1541
WD51234103,2024SP,true,0,5558,7016,5907
WD69109449,2024SP,false,0,894,0,813
WD77141539,2024SP,true,0,2457,0,4460
WD27618203,2024SP,true,0,5955,0,-165
WD42660434,2024SP,false,0,1892,0,6491
WD37534269,2024SP,true,0,6940,1827,5659
WD74895648,2024SP,false,0,49,0,8802
WD35073266,2024SP,true,1292,3865,4101,7656
WD51170790,2024SP,true,0,5312,0,8264
WD42473212,2024SP,false,0,126,0,-2210
WD26766244,2024SP,true,0,3430,0,5136
WD10603886,2024SP,true,0,6776,456,-1122
WD96979180,2024SP,true,0,1387,0,3711
WD94092988,2024SP,true,0,44,0,3318
WD97647842,2024SP,true,0,844,1275,7321
