student_id,term_code,workday_course_section_id,subject,catalog_number,credits,grading_basis,letter_grade,grade_points
S000001,2024SP,WD-2024SP-PHIL-102D,PHIL,102,3,Graded,B-,2.64
S000002,2024SP,WD-2024SP-AMST-138B,AMST,138,3,Graded,A-,3.59
S000002,2024SP,WD-2024SP-PHIL-173C,PHIL,173,3,Graded,A-,3.72
S000002,2024SP,WD-2024SP-MATH-149D,MATH,149,3,Graded,A,3.95
S000004,2024SP,WD-2024SP-ENVS-184B,ENVS,184,3,Graded,C+,2.32
S000004,2024SP,WD-2024SP-MATH-177A,MATH,177,3,Graded,B-,2.58
S000004,2024SP,WD-2024SP-ANTH-153A,ANTH,153,3,Graded,C+,2.47
S000004,2024SP,WD-2024SP-MATH-127C,MATH,127,3,Graded,C+,2.45
S000005,2024SP,WD-2024SP-PSYC-178B,PSYC,178,3,Graded,F,0.0
S000006,2024SP,WD-2024SP-ECON-176B,ECON,176,3,Graded,B,2.96
S000006,2024SP,WD-2024SP-BIOL-151A,BIOL,151,3,Graded,B,3.13
S000006,2024SP,WD-2024SP-ECON-182A,ECON,182,3,Graded,B,2.96
S000006,2024SP,WD-2024SP-ANTH-199D,ANTH,199,3,Graded,B,2.89
S000006,2024SP,WD-2024SP-AMST-162C,AMST,162,3,Graded,B,2.93
S000007,2024SP,WD-2024SP-CHEM-199A,CHEM,199,3,Graded,B-,2.83
S000007,2024SP,WD-2024SP-CHEM-150B,CHEM,150,3,Graded,B-,2.81
S000007,2024SP,WD-2024SP-NEUR-172B,NEUR,172,4,Graded,B-,2.77
S000008,2024SP,WD-2024SP-ANTH-155B,ANTH,155,3,Graded,B+,3.35
S000008,2024SP,WD-2024SP-PHIL-157B,PHIL,157,3,Graded,B+,3.31
S000008,2024SP,WD-2024SP-BUS-154D,BUS,154,3,Graded,B+,3.49
S000008,2024SP,WD-2024SP-PHIL-167D,PHIL,167,3,Graded,A-,3.5
S000011,2024SP,WD-2024SP-NEUR-199A,NEUR,199,4,Graded,A-,3.58
S000011,2024SP,WD-2024SP-ECON-190D,ECON,190,3,Graded,A-,3.62
S000011,2024SP,WD-2024SP-BUS-136D,BUS,136,3,Graded,A-,3.58
S000012,2024SP,WD-2024SP-NEUR-133B,NEUR,133,3,Graded,A-,3.82
S000012,2024SP,WD-2024SP-ENVS-169D,ENVS,169,3,Graded,A,4.0
S000013,2024SP,WD-2024SP-HSSP-131D,HSSP,131,4,Graded,B,3.06
S000013,2024SP,WD-2024SP-ENG-147A,ENG,147,3,Graded,B,3.16
S000013,2024SP,WD-2024SP-ENG-150A,ENG,150,3,Graded,B,3.12
S000013,2024SP,WD-2024SP-BUS-195A,BUS,195,4,Graded,B+,3.27
S000015,2024SP,WD-2024SP-CHEM-188D,CHEM,188,4,Graded,B+,3.46
S000015,2024SP,WD-2024SP-ENG-136B,ENG,136,3,Graded,B+,3.42
S000015,2024SP,WD-2024SP-ANTH-119C,ANTH,119,3,Graded,B+,3.46
S000016,2024SP,WD-2024SP-ENG-153C,ENG,153,3,Graded,B+,3.33
S000016,2024SP,WD-2024SP-POL-145C,POL,145,3,Graded,B,2.99
S000016,2024SP,WD-2024SP-COSI-134B,COSI,134,3,Graded,B,3.02
S000016,2024SP,WD-2024SP-MATH-195A,MATH,195,3,Graded,B,3.01
S000016,2024SP,WD-2024SP-PSYC-173C,PSYC,173,3,Graded,B,3.07
S000017,2024SP,WD-2024SP-HIST-112A,HIST,112,4,Graded,A,3.94
S000018,2024SP,WD-2024SP-BUS-110B,BUS,110,3,Graded,C+,2.18
S000018,2024SP,WD-2024SP-PSYC-171A,PSYC,171,3,Graded,C,1.97
S000018,2024SP,WD-2024SP-HIST-135C,HIST,135,3,Graded,C,2.01
S000018,2024SP,WD-2024SP-PSYC-151C,PSYC,151,3,Graded,C,1.92
S000019,2024SP,WD-2024SP-HSSP-163B,HSSP,163,3,Graded,B+,3.47
S000019,2024SP,WD-2024SP-BUS-134A,BUS,134,3,Graded,B+,3.29
S000019,2024SP,WD-2024SP-CHEM-167B,CHEM,167,3,Graded,A-,3.68
S000019,2024SP,WD-2024SP-HIST-173A,HIST,173,3,Graded,B+,3.38
S000020,2024SP,WD-2024SP-HSSP-111D,HSSP,111,3,Graded,A-,3.58
S000020,2024SP,WD-2024SP-ENVS-127D,ENVS,127,3,Graded,B+,3.44
S000022,2024SP,WD-2024SP-ECON-134B,ECON,134,3,Graded,B+,3.46
S000022,2024SP,WD-2024SP-COSI-123A,COSI,123,3,Graded,A-,3.58
S000022,2024SP,WD-2024SP-CHEM-146B,CHEM,146,4,Graded,B+,3.39
S000022,2024SP,WD-2024SP-NEUR-123B,NEUR,123,3,Graded,B+,3.38
S000022,2024SP,WD-2024SP-ANTH-157D,ANTH,157,4,Graded,A-,3.53
S000026,2024SP,WD-2024SP-ENG-151A,ENG,151,4,Graded,B+,3.46
S000026,2024SP,WD-2024SP-MATH-108B,MATH,108,3,Graded,A-,3.52
S000026,2024SP,WD-2024SP-HIST-190A,HIST,190,3,Graded,B+,3.29
S000027,2024SP,WD-2024SP-COSI-137B,COSI,137,3,Graded,A-,3.67
S000027,2024SP,WD-2024SP-ENVS-108D,ENVS,108,3,Graded,B+,3.47
S000027,2024SP,WD-2024SP-COSI-110C,COSI,110,3,Graded,A-,3.83
S000027,2024SP,WD-2024SP-POL-170C,POL,170,3,Graded,A-,3.68
S000028,2024SP,WD-2024SP-HIST-103C,HIST,103,3,Graded,F,0.51
S000029,2024SP,WD-2024SP-HIST-191C,HIST,191,4,Graded,B-,2.51
S000029,2024SP,WD-2024SP-ECON-171D,ECON,171,3,Graded,B-,2.52
S000029,2024SP,WD-2024SP-ECON-155C,ECON,155,3,Graded,B-,2.62
S000029,2024SP,WD-2024SP-BUS-175A,BUS,175,3,Graded,B-,2.64
S000029,2024SP,WD-2024SP-PSYC-184A,PSYC,184,3,Graded,C+,2.32
S000032,2024SP,WD-2024SP-ENVS-107C,ENVS,107,3,Graded,A-,3.67
S000032,2024SP,WD-2024SP-ENG-134D,ENG,134,4,Graded,A-,3.52
S000032,2024SP,WD-2024SP-ECON-111B,ECON,111,3,Graded,A-,3.68
S000032,2024SP,WD-2024SP-MATH-176A,MATH,176,3,Graded,A,3.96
S000032,2024SP,WD-2024SP-PHIL-101D,PHIL,101,3,Graded,A-,3.76
S000033,2024SP,WD-2024SP-PHIL-107C,PHIL,107,3,Graded,B,3.0
S000033,2024SP,WD-2024SP-ENVS-150D,ENVS,150,4,Graded,B,3.05
S000033,2024SP,WD-2024SP-ANTH-182B,ANTH,182,3,Graded,B+,3.26
S000033,2024SP,WD-2024SP-POL-129B,POL,129,3,Graded,B,2.98
S000033,2024SP,WD-2024SP-PHIL-134C,PHIL,134,3,Graded,B+,3.37
S000037,2024SP,WD-2024SP-ENVS-114C,ENVS,114,3,Graded,B,3.11
