workday_person_id,term_code,fafsa_received,pell_amount,institutional_grant,loans,balance_due
WD82117865,2025SU,true,0,800,283,1067
WD81229989,2025SU,true,1090,673,0,1838
WD26521485,2025SU,true,0,716,405,401
WD21455120,2025SU,false,0,462,0,-2085
WD75495390,2025SU,true,0,3471,0,-2297
WD11094884,2025SU,true,0,1472,3243,5357
WD46412594,2025SU,false,0,1193,0,2211
WD02239789,2025SU,true,0,5591,4437,1806
WD83986332,2025SU,false,0,472,0,6465
WD89085663,2025SU,true,0,652,0,2873
WD84877825,2025SU,true,0,4466,5514,3467
WD05737140,2025SU,true,3436,6726,4908,6560
WD32941572,2025SU,true,3562,4480,6495,6702
WD30154380,2025SU,true,0,201,1619,4639
WD22990120,2025SU,true,0,5162,5313,-317
WD21615382,2025SU,true,2059,3919,0,8584
WD72784737,2025SU,true,0,2071,3355,7796
WD44723914,2025SU,true,0,6816,7518,8307
WD64589102,2025SU,true,419,5182,0,3658
WD06529944,2025SU,true,2251,1193,0,6234
WD37073155,2025SU,true,1682,1179,7056,-939
WD67128571,2025SU,true,2766,4085,0,6914
WD43626922,2025SU,true,0,4863,7697,1487
WD25667078,2025SU,true,0,1964,0,4463
WD41819599,2025SU,true,0,3426,0,2547
WD54300718,2025SU,true,0,2844,15,961
WD59854836,2025SU,true,0,3998,8296,7054
WD31949692,2025SU,false,0,374,0,-567
WD14669317,2025SU,false,0,1104,0,28
WD92293433,2025SU,true,1162,2649,7420,-605
WD94565013,2025SU,true,3164,5653,2802,3441
WD38610489,2025SU,false,0,310,0,537
WD24844248,2025SU,false,0,204,0,210
WD43496096,2025SU,false,0,2299,0,-2488
WD51972604,2025SU,true,0,5727,552,1305
WD77677471,2025SU,false,0,2149,0,6741
WD56942596,2025SU,true,0,6226,0,8446
WD18668019,2025SU,true,0,6534,0,3010
WD12698019,2025SU,true,2614,923,0,4799
WD02040744,2025SU,true,0,4048,1285,7035
WD79530597,2025SU,true,0,5486,0,20
WD78792598,2025SU,true,0,5586,0,8827
WD27161284,2025SU,true,0,377,0,2076
WD04578932,2025SU,false,0,70,0,-316
WD80334007,2025SU,true,0,2603,0,1664
WD05129494,2025SU,true,0,5280,0,8104
WD78339462,2025SU,true,1470,1332,3998,3480
WD37343286,2025SU,true,0,4253,7395,7493
WD50854752,2025SU,true,0,5691,6546,2728
WD50999572,2025SU,true,0,253,1179,4174
WD06828720,2025SU,true,0,5902,2397,4684
WD12520005,2025SU,true,2909,317,3303,8941
WD55690240,2025SU,true,636,2693,0,3395
WD45359454,2025SU,true,0,1307,7523,1600
WD30691410,2025SU,true,1796,2945,6384,7994
WD52855666,2025SU,false,0,594,0,-884
WD30717305,2025SU,true,2499,6969,0,4392
WD32976864,2025SU,true,0,3474,2080,-610
WD07139880,2025SU,true,0,5988,0,3934
WD28929174,2025SU,true,0,4257,5939,-2232
WD59557464,2025SU,true,2238,1044,7820,4498
WD49653547,2025SU,true,0,1908,0,-2047
WD30638658,2025SU,true,430,1167,0,579
WD98412686,2025SU,false,0,2077,0,-1046
WD83392163,2025SU,true,2970,2698,0,8639
WD73623725,2025SU,true,0,1196,0,7073
WD82441560,2025SU,true,0,5660,0,498
WD17255076,2025SU,true,2029,2582,4578,7171
WD37612402,2025SU,true,0,183,0,7422
WD04166709,2025SU,false,0,1676,0,4536
WD48516758,2025SU,true,0,6151,2286,2584
WD11970054,2025SU,false,0,1976,0,32
WD80852668,2025SU,true,0,562,0,8079
WD70306746,2025SU,true,0,6499,212,8177
WD94290766,2025SU,false,0,464,0,-1326
WD17624337,2025SU,false,0,1240,0,-1800
WD38829230,2025SU,false,0,2436,0,551
WD34934756,2025SU,false,0,1936,0,2217
WD21977336,2025SU,true,3031,2279,0,8540
WD24497025,2025SU,true,0,677,1946,2535
WD06733611,2025SU,true,0,3125,2126,-53
WD53030764,2025SU,true,0,6528,5145,4078
WD71931233,2025SU,true,1643,2891,665,3715
WD70070681,2025SU,false,0,1551,0,3468
WD92457375,2025SU,true,2235,4182,0,642
WD46171172,2025SU,true,0,88,0,2372
WD64591076,2025SU,false,0,265,0,-1056
WD60913611,2025SU,true,0,4691,4739,3992
WD57344834,2025SU,true,0,2610,0,3751
WD99778735,2025SU,true,0,6714,0,2028
WD55093259,2025SU,true,3197,4677,4214,-2392
WD62629839,2025SU,true,0,3574,4913,6425
WD68691197,2025SU,true,0,5545,0,-24
WD47488826,2025SU,true,1424,6347,0,2809
WD85473642,2025SU,false,0,90,0,6028
WD21494819,2025SU,true,0,5582,0,6659
WD74618928,2025SU,true,0,1137,0,1924
WD76529556,2025SU,true,0,5867,0,-1926
WD31598536,2025SU,true,0,3959,586,8964
WD11807458,2025SU,true,0,6419,5357,4910
WD63004317,2025SU,false,0,214,0,8864
WD76642626,2025SU,true,0,4149,5057,4651
WD88445527,2025SU,false,0,1768,0,4105
WD48663308,2025SU,true,0,6883,0,7506
WD66094939,2025SU,false,0,2261,0,2661
WD33397343,2025SU,true,0,1375,0,4014
WD58919398,2025SU,true,492,708,0,1798
WD83239325,2025SU,true,0,4314,6605,2276
WD11531090,2025SU,false,0,1775,0,8421
WD48690883,2025SU,false,0,754,0,2981
WD01125832,2025SU,true,2135,3330,1707,6020
WD78255718,2025SU,false,0,1453,0,-31
WD48718384,2025SU,false,0,2255,0,4612
WD43018492,2025SU,false,0,1819,0,818
WD80333898,2025SU,true,0,1401,0,6570
WD82962129,2025SU,false,0,669,0,-1082
WD93011812,2025SU,true,2107,5161,5447,1079
WD36895342,2025SU,true,0,3800,1095,7012
WD10146290,2025SU,true,0,6000,2649,-313
WD75648805,2025SU,false,0,1303,0,3179
WD28233956,2025SU,true,0,6721,0,5483
WD79826844,2025SU,true,74,6283,4333,755
WD78596228,2025SU,true,0,3328,0,6632
WD69192713,2025SU,false,0,1245,0,5094
WD91527160,2025SU,true,1518,4592,7585,5949
WD95675698,2025SU,false,0,2492,0,7654
WD06722680,2025SU,true,0,3441,2511,546
WD95882850,2025SU,false,0,2117,0,4198
WD37855032,2025SU,true,0,5399,7593,5571
WD58343246,2025SU,false,0,995,0,2854
WD04393823,2025SU,true,0,6838,0,6757
WD39627995,2025SU,false,0,658,0,-960
WD12765648,2025SU,false,0,591,0,7527
WD40452091,2025SU,true,0,3872,1105,-1420
WD81701227,2025SU,true,0,6762,0,5773
WD67104785,2025SU,false,0,582,0,2910
WD58904365,2025SU,false,0,1349,0,7938
WD63275735,2025SU,true,584,4666,7172,2657
WD75713384,2025SU,true,0,3612,7243,320
WD99062006,2025SU,true,1418,4490,7364,6941
WD49344464,2025SU,false,0,1552,0,7138
WD95977168,2025SU,true,0,578,1296,3800
WD86406919,2025SU,true,0,3277,8195,5622
WD48521302,2025SU,true,3517,2692,3559,6559
WD85991153,2025SU,true,955,4878,2396,861
WD10102485,2025SU,false,0,1866,0,-707
WD71376900,2025SU,false,0,2090,0,1114
WD48114282,2025SU,true,3090,4738,1657,7430
WD90142838,2025SU,true,0,5401,8051,7579
WD60730296,2025SU,true,0,3517,5162,7836
WD29147766,2025SU,false,0,376,0,3151
WD69109449,2025SU,true,3424,5134,0,5859
WD77141539,2025SU,false,0,2268,0,-1409
WD83049316,2025SU,true,0,2423,4862,7951
WD42660434,2025SU,true,0,5526,0,6214
WD41371070,2025SU,true,0,4041,0,6983
WD35073266,2025SU,false,0,1252,0,8849
WD39607007,2025SU,false,0,261,0,1970
WD51170790,2025SU,true,0,5674,2636,-2238
WD93711689,2025SU,false,0,676,0,6849
WD96979180,2025SU,true,0,2306,0,3406
WD02959710,2025SU,false,0,624,0,5591
WD46058227,2025SU,false,0,1283,0,3120
WD97770098,2025SU,true,0,2358,0,-1546
WD23354134,2025SU,false,0,2245,0,-455
