student_id,term_code,workday_course_section_id,subject,catalog_number,credits,grading_basis,letter_grade,grade_points
S000001,2025SU,WD-2025SU-ENVS-160A,ENVS,160,3,Graded,A-,3.57
S000001,2025SU,WD-2025SU-PSYC-129B,PSYC,129,3,Graded,B+,3.28
S000001,2025SU,WD-2025SU-BUS-134D,BUS,134,3,Graded,B+,3.21
S000002,2025SU,WD-2025SU-HSSP-180C,HSSP,180,3,Graded,B,3.11
S000002,2025SU,WD-2025SU-COSI-104B,COSI,104,4,Graded,B+,3.22
S000002,2025SU,WD-2025SU-ECON-181D,ECON,181,3,Graded,B,3.13
S000002,2025SU,WD-2025SU-POL-111A,POL,111,3,Graded,B,3.14
S000002,2025SU,WD-2025SU-PSYC-123A,PSYC,123,3,Graded,B,3.16
S000003,2025SU,WD-2025SU-HSSP-168A,HSSP,168,4,Graded,A-,3.79
S000003,2025SU,WD-2025SU-BIOL-191A,BIOL,191,3,Graded,A-,3.76
S000003,2025SU,WD-2025SU-PHIL-193D,PHIL,193,3,Graded,A-,3.61
S000003,2025SU,WD-2025SU-BIOL-163B,BIOL,163,3,Graded,A-,3.63
S000004,2025SU,WD-2025SU-BUS-115B,BUS,115,4,Graded,C+,2.25
S000004,2025SU,WD-2025SU-ECON-192B,ECON,192,3,Graded,C+,2.36
S000004,2025SU,WD-2025SU-ENG-177D,ENG,177,3,Graded,C+,2.22
S000004,2025SU,WD-2025SU-HSSP-196C,HSSP,196,3,Graded,C+,2.16
S000005,2025SU,WD-2025SU-ENG-142C,ENG,142,3,Graded,F,0.72
S000005,2025SU,WD-2025SU-HIST-183A,HIST,183,3,Graded,F,0.73
S000006,2025SU,WD-2025SU-PSYC-165B,PSYC,165,3,Graded,A-,3.71
S000006,2025SU,WD-2025SU-AMST-102D,AMST,102,3,Graded,A-,3.79
S000006,2025SU,WD-2025SU-ENG-192A,ENG,192,3,Graded,A,3.9
S000006,2025SU,WD-2025SU-HIST-134B,HIST,134,3,Graded,A-,3.67
S000006,2025SU,WD-2025SU-MATH-127A,MATH,127,3,Graded,A-,3.74
S000007,2025SU,WD-2025SU-ANTH-154D,ANTH,154,3,Graded,B+,3.37
S000007,2025SU,WD-2025SU-CHEM-108A,CHEM,108,4,Graded,B,3.07
S000007,2025SU,WD-2025SU-BIOL-168A,BIOL,168,3,Graded,B,3.09
S000007,2025SU,WD-2025SU-NEUR-153B,NEUR,153,3,Graded,B,2.94
S000009,2025SU,WD-2025SU-ENVS-112B,ENVS,112,3,Graded,B,3.19
S000009,2025SU,WD-2025SU-BIOL-126A,BIOL,126,4,Graded,B,3.19
S000009,2025SU,WD-2025SU-ANTH-162C,ANTH,162,3,Graded,B+,3.26
S000009,2025SU,WD-2025SU-BIOL-122D,BIOL,122,4,Graded,B+,3.2
S000010,2025SU,WD-2025SU-COSI-134D,COSI,134,3,Graded,B,3.09
S000010,2025SU,WD-2025SU-CHEM-118D,CHEM,118,3,Graded,B+,3.22
S000010,2025SU,WD-2025SU-BUS-179C,BUS,179,3,Graded,B+,3.21
S000010,2025SU,WD-2025SU-HIST-145C,HIST,145,3,Graded,B+,3.22
S000011,2025SU,WD-2025SU-POL-109C,POL,109,4,Graded,A-,3.56
S000011,2025SU,WD-2025SU-COSI-109B,COSI,109,3,Graded,A-,3.64
S000011,2025SU,WD-2025SU-ENVS-199A,ENVS,199,3,Graded,A-,3.53
S000011,2025SU,WD-2025SU-ENVS-159D,ENVS,159,4,Graded,A-,3.54
S000013,2025SU,WD-2025SU-ENVS-125A,ENVS,125,3,Graded,B,3.19
S000013,2025SU,WD-2025SU-MATH-155C,MATH,155,3,Graded,B+,3.22
S000013,2025SU,WD-2025SU-HIST-141A,HIST,141,3,Graded,B+,3.23
S000015,2025SU,WD-2025SU-PSYC-188C,PSYC,188,3,Graded,B+,3.38
S000015,2025SU,WD-2025SU-PSYC-144A,PSYC,144,3,Graded,A-,3.56
S000016,2025SU,WD-2025SU-ENVS-152C,ENVS,152,3,Graded,B+,3.35
S000016,2025SU,WD-2025SU-AMST-180C,AMST,180,3,Graded,B+,3.35
S000016,2025SU,WD-2025SU-ENVS-125D,ENVS,125,3,Graded,B+,3.33
S000016,2025SU,WD-2025SU-HIST-159A,HIST,159,3,Graded,B+,3.46
S000017,2025SU,WD-2025SU-PSYC-106D,PSYC,106,3,Graded,A,3.95
S000017,2025SU,WD-2025SU-HSSP-156B,HSSP,156,3,Graded,A,3.97
S000017,2025SU,WD-2025SU-AMST-137D,AMST,137,3,Graded,A,3.9
S000017,2025SU,WD-2025SU-BIOL-172C,BIOL,172,3,Graded,A,3.85
S000018,2025SU,WD-2025SU-PHIL-177C,PHIL,177,3,Graded,C,2.08
S000018,2025SU,WD-2025SU-COSI-105A,COSI,105,3,Graded,C+,2.15
S000018,2025SU,WD-2025SU-COSI-130B,COSI,130,3,Graded,C,1.98
S000020,2025SU,WD-2025SU-ENG-149D,ENG,149,3,Graded,B+,3.45
S000021,2025SU,WD-2025SU-ENG-196C,ENG,196,4,Graded,B,2.89
S000021,2025SU,WD-2025SU-ANTH-161C,ANTH,161,3,Graded,B,3.02
S000021,2025SU,WD-2025SU-AMST-167A,AMST,167,3,Graded,B+,3.24
S000021,2025SU,WD-2025SU-POL-117B,POL,117,3,Graded,B,2.91
S000021,2025SU,WD-2025SU-HSSP-134D,HSSP,134,3,Graded,B,3.06
S000022,2025SU,WD-2025SU-CHEM-136D,CHEM,136,3,Graded,B+,3.45
S000022,2025SU,WD-2025SU-BIOL-135A,BIOL,135,3,Graded,B+,3.44
S000022,2025SU,WD-2025SU-AMST-106C,AMST,106,3,Graded,A-,3.63
S000022,2025SU,WD-2025SU-BUS-160B,BUS,160,3,Graded,B+,3.21
S000023,2025SU,WD-2025SU-AMST-187B,AMST,187,3,Graded,B,3.12
S000023,2025SU,WD-2025SU-AMST-165B,AMST,165,3,Graded,B,3.13
S000023,2025SU,WD-2025SU-ENG-117A,ENG,117,3,Graded,B,3.06
S000023,2025SU,WD-2025SU-PSYC-134A,PSYC,134,4,Graded,B+,3.23
