moodle_user_key,term_code,course_shells,login_count,page_views,assignments_submitted,forum_posts,quiz_attempts,last_activity_date,lms_platform
mdl_s000001,2024SU,4,101,3302,53,25,0,2024-07-02,Moodle
mdl_s000002,2024SU,5,135,1121,7,22,7,2024-07-28,Moodle
mdl_s000004,2024SU,4,138,2273,11,4,15,2024-07-04,Moodle
mdl_s000005,2024SU,5,50,363,5,35,7,2024-07-07,Moodle
mdl_s000479,2024SU,6,128,434,10,13,2,2024-07-03,Moodle
mdl_s000007,2024SU,6,79,3489,40,7,2,2024-07-17,Moodle
mdl_s000008,2024SU,4,43,499,54,13,18,2024-07-07,Moodle
mdl_s000011,2024SU,3,77,3477,20,3,19,2024-07-06,Moodle
mdl_s000015,2024SU,3,13,3796,4,17,6,2024-07-26,Moodle
mdl_s000016,2024SU,6,133,3177,33,27,11,2024-07-19,Moodle
mdl_s000017,2024SU,4,20,4104,6,16,6,2024-07-27,Moodle
mdl_s000018,2024SU,5,33,3036,25,8,21,2024-07-22,Moodle
mdl_s000019,2024SU,4,81,3488,0,1,6,2024-07-12,Moodle
mdl_s000020,2024SU,6,24,1639,42,6,10,2024-07-05,Moodle
mdl_s000023,2024SU,6,27,2798,61,5,25,2024-07-20,Moodle
mdl_s000026,2024SU,3,140,2025,0,35,7,2024-07-21,Moodle
mdl_s000027,2024SU,6,63,2258,29,15,5,2024-07-12,Moodle
mdl_s000032,2024SU,3,88,86,47,15,11,2024-07-02,Moodle
mdl_s000033,2024SU,6,83,463,9,2,17,2024-07-01,Moodle
mdl_s000037,2024SU,4,39,980,38,6,21,2024-07-10,Moodle
mdl_s000039,2024SU,3,48,2937,8,14,9,2024-07-05,Moodle
mdl_s000040,2024SU,5,63,3823,11,31,3,2024-07-19,Moodle
mdl_s000041,2024SU,3,65,1181,61,10,9,2024-07-21,Moodle
mdl_s000046,2024SU,6,127,1715,45,12,9,2024-07-15,Moodle
mdl_s000048,2024SU,4,130,568,60,26,16,2024-07-28,Moodle
mdl_s000049,2024SU,6,45,1424,52,24,4,2024-07-19,Moodle
mdl_s000050,2024SU,5,124,311,25,10,7,2024-07-26,Moodle
mdl_s000051,2024SU,5,32,1794,55,24,3,2024-07-12,Moodle
mdl_s000052,2024SU,6,134,2738,28,8,16,2024-07-19,Moodle
mdl_s000053,2024SU,4,19,302,8,19,2,2024-07-05,Moodle
mdl_s000055,2024SU,6,53,3539,3,21,2,2024-07-16,Moodle
mdl_s000057,2024SU,4,23,3980,51,6,1,2024-07-09,Moodle
mdl_s000058,2024SU,3,102,239,23,17,16,2024-07-19,Moodle
mdl_s000059,2024SU,3,60,1706,14,14,2,2024-07-18,Moodle
mdl_s000060,2024SU,6,46,435,30,6,15,2024-07-03,Moodle
mdl_s000061,2024SU,5,20,1634,55,22,4,2024-07-05,Moodle
mdl_s000062,2024SU,3,106,1604,22,19,6,2024-07-08,Moodle
mdl_s000063,2024SU,5,95,1850,23,0,14,2024-07-26,Moodle
mdl_s000064,2024SU,5,81,3340,55,6,23,2024-07-16,Moodle
mdl_s000065,2024SU,3,22,3921,24,13,18,2024-07-16,Moodle
mdl_s000066,2024SU,4,117,502,21,9,1,2024-07-21,Moodle
mdl_s000068,2024SU,6,89,1762,0,31,21,2024-07-28,Moodle
mdl_s000071,2024SU,4,69,2927,34,23,0,2024-07-25,Moodle
mdl_s000072,2024SU,5,36,1868,64,7,16,2024-07-25,Moodle
mdl_s000073,2024SU,6,80,3966,21,26,8,2024-07-18,Moodle
mdl_s000074,2024SU,6,42,795,42,32,21,2024-07-27,Moodle
mdl_s000075,2024SU,4,52,1064,27,11,15,2024-07-18,Moodle
mdl_s000076,2024SU,5,44,719,10,34,14,2024-07-13,Moodle
mdl_s000077,2024SU,3,32,4087,51,20,9,2024-07-01,Moodle
mdl_s000079,2024SU,6,116,1297,7,18,13,2024-07-13,Moodle
mdl_s000080,2024SU,5,85,628,23,16,25,2024-07-07,Moodle
mdl_s000081,2024SU,6,59,2864,62,34,6,2024-07-08,Moodle
mdl_s000082,2024SU,3,132,2888,28,23,24,2024-07-01,Moodle
mdl_s000083,2024SU,3,123,648,46,16,2,2024-07-08,Moodle
mdl_s000086,2024SU,4,137,1218,13,18,7,2024-07-13,Moodle
mdl_s000087,2024SU,3,125,3857,1,0,9,2024-07-14,Moodle
mdl_s000089,2024SU,3,75,312,1,1,24,2024-07-12,Moodle
mdl_s000090,2024SU,4,122,3525,59,14,24,2024-07-07,Moodle
mdl_s000091,2024SU,3,29,3699,60,1,17,2024-07-03,Moodle
mdl_s000092,2024SU,6,87,4143,49,30,3,2024-07-17,Moodle
mdl_s000093,2024SU,5,20,2675,36,12,17,2024-07-02,Moodle
mdl_s000095,2024SU,4,37,512,51,17,25,2024-07-10,Moodle
mdl_s000096,2024SU,6,99,2800,9,0,8,2024-07-03,Moodle
mdl_s000097,2024SU,5,59,3637,43,33,2,2024-07-03,Moodle
mdl_s000099,2024SU,5,76,322,14,25,8,2024-07-20,Moodle
mdl_s000103,2024SU,5,32,1593,54,2,25,2024-07-13,Moodle
mdl_s000104,2024SU,5,28,3502,27,11,9,2024-07-26,Moodle
mdl_s000106,2024SU,6,130,1797,45,23,17,2024-07-22,Moodle
mdl_s000107,2024SU,6,79,2935,64,15,16,2024-07-04,Moodle
mdl_s000108,2024SU,6,25,3332,48,8,15,2024-07-13,Moodle
mdl_s000113,2024SU,4,109,2328,48,0,8,2024-07-02,Moodle
mdl_s000114,2024SU,6,99,104,0,16,9,2024-07-25,Moodle
mdl_s000115,2024SU,4,126,105,40,7,11,2024-07-23,Moodle
mdl_s000116,2024SU,6,108,2859,65,18,22,2024-07-20,Moodle
mdl_s000117,2024SU,5,106,692,59,22,24,2024-07-11,Moodle
mdl_s000118,2024SU,4,129,810,8,17,22,2024-07-07,Moodle
mdl_s000119,2024SU,4,19,1951,32,25,14,2024-07-09,Moodle
mdl_s000120,2024SU,3,42,3109,56,12,18,2024-07-23,Moodle
mdl_s000121,2024SU,3,78,134,14,0,7,2024-07-21,Moodle
mdl_s000124,2024SU,5,25,179,6,28,11,2024-07-12,Moodle
mdl_s000126,2024SU,4,50,3816,28,8,5,2024-07-21,Moodle
mdl_s000127,2024SU,4,22,2308,5,14,21,2024-07-14,Moodle
mdl_s000128,2024SU,6,35,1641,3,24,2,2024-07-18,Moodle
mdl_s000129,2024SU,3,79,531,4,2,11,2024-07-23,Moodle
mdl_s000130,2024SU,4,8,2230,65,0,22,2024-07-02,Moodle
mdl_s000131,2024SU,4,30,688,13,17,12,2024-07-10,Moodle
mdl_s000132,2024SU,3,47,498,2,21,9,2024-07-04,Moodle
mdl_s000133,2024SU,5,109,3357,23,0,20,2024-07-23,Moodle
mdl_s000135,2024SU,5,16,4132,39,24,14,2024-07-19,Moodle
mdl_s000136,2024SU,5,14,2259,37,10,9,2024-07-24,Moodle
mdl_s000137,2024SU,5,97,3452,54,0,15,2024-07-20,Moodle
mdl_s000138,2024SU,5,80,1803,16,28,19,2024-07-17,Moodle
mdl_s000139,2024SU,4,11,141,59,0,9,2024-07-18,Moodle
mdl_s000140,2024SU,6,94,2201,24,1,23,2024-07-02,Moodle
mdl_s000141,2024SU,5,106,819,50,32,21,2024-07-14,Moodle
mdl_s000142,2024SU,5,75,1162,28,6,6,2024-07-21,Moodle
mdl_s000143,2024SU,5,127,3857,52,17,18,2024-07-14,Moodle
mdl_s000145,2024SU,5,130,4102,24,9,18,2024-07-05,Moodle
mdl_s000146,2024SU,5,94,981,21,27,13,2024-07-08,Moodle
mdl_s000147,2024SU,4,72,2468,8,17,15,2024-07-11,Moodle
mdl_s000148,2024SU,3,53,960,58,35,4,2024-07-13,Moodle
mdl_s000151,2024SU,4,89,3280,34,8,8,2024-07-25,Moodle
mdl_s000279,2024SU,6,17,155,61,27,22,2024-07-18,Moodle
mdl_s000153,2024SU,3,81,2926,41,12,22,2024-07-07,Moodle
mdl_s000154,2024SU,3,136,4156,36,15,13,2024-07-03,Moodle
mdl_s000155,2024SU,5,25,2653,42,13,1,2024-07-11,Moodle
mdl_s000156,2024SU,6,103,3772,62,1,14,2024-07-25,Moodle
mdl_s000159,2024SU,6,13,2102,57,23,25,2024-07-05,Moodle
mdl_s000162,2024SU,6,95,4090,65,7,22,2024-07-18,Moodle
mdl_s000163,2024SU,5,30,2954,59,11,12,2024-07-09,Moodle
mdl_s000165,2024SU,3,106,2382,6,19,10,2024-07-20,Moodle
mdl_s000166,2024SU,4,128,2465,10,33,9,2024-07-16,Moodle
mdl_s000167,2024SU,4,80,3349,49,15,4,2024-07-09,Moodle
mdl_s000170,2024SU,5,35,98,6,4,1,2024-07-28,Moodle
mdl_s000171,2024SU,4,136,623,63,25,9,2024-07-04,Moodle
mdl_s000172,2024SU,6,10,2953,45,31,17,2024-07-20,Moodle
mdl_s000174,2024SU,3,112,538,63,15,11,2024-07-23,Moodle
mdl_s000176,2024SU,3,112,3113,21,6,2,2024-07-25,Moodle
mdl_s000177,2024SU,5,71,558,59,13,14,2024-07-09,Moodle
mdl_s000179,2024SU,5,42,2006,62,28,5,2024-07-21,Moodle
mdl_s000180,2024SU,6,137,1704,4,21,1,2024-07-19,Moodle
mdl_s000182,2024SU,3,85,875,54,16,17,2024-07-03,Moodle
mdl_s000183,2024SU,5,95,688,12,34,25,2024-07-20,Moodle
mdl_s000185,2024SU,3,105,1115,46,26,23,2024-07-25,Moodle
mdl_s000378,2024SU,3,82,1766,1,11,25,2024-07-14,Moodle
